00BE               20231130                                                                                   
0601BEA0N       20240101000000100000005000 0000000000000000   
0601BEA0N       20240101000005100000005000 0000000000000000   
0601BEA0N       20240101000010100000005000 0000000000000000   
0601BEA0N       20240101000015100000005000 0000000000000000   
0601BEA0N       20240101000020100000005000 0000000000000000   
0601BEA0N       20240101000025100000005000 0000000000000000   
0601BEA0N       20240101000030100000005000 0000000000000000   
0601BEA0N       20240101000035100000005000 0000000000000000   
0601BEA0N       20240101000040100000005000 0000000000000000   
0601BEA0N       20240101000045100000005000 0000000000000000   
0601BEA0N       20240101000050100000005000 0000000000000000   
0601BEA0N       20240101000055100000005000 0000000000000000   
0601BEA0N       20240101000060100000005000 0000000000000000   
0601BEA0N       20240101000065100000005000 0000000000000000   
0601BEA0N       20240101000070100000005000 0000000000000000   
0601BEA0N       20240101000075100000005000 0000000000000000   
0601BEA0N       20240101000080100000005000 0000000000000000   
0601BEA0N       20240101000085100000005000 0000000000000000   
0601BEA0N       20240101000090100000005000 0000000000000000   
0601BEA0N       20240101000095100000005000 0000000000000000   
0601BEA0N       20240101000100100000005000 0000000000000000   
0601BEA0N       20240101000105100000005000 0000000000000000   
0601BEA0N       20240101000110100000005000 0000000000000000   
0601BEA0N       20240101000115100000005000 0000000000000000   
0601BEA0N       20240101000120100000005000 0000000000000000   
0601BEA0N       20240101000125100000005000 0000000000000000   
0601BEA0N       20240101000130100000005000 0000000000000000   
0601BEA0N       20240101000135100000005000 0000000000000000   
0601BEA0N       20240101000140100000005000 0000000000000000   
0601BEA0N       20240101000145100000005000 0000000000000000   
0601BEA0N       20240101000150100000005000 0000000000000000   
0601BEA0N       20240101000155100000005000 0000000000000000   
0601BEA0N       20240101000160100000005000 0000000000000000   
0601BEA0N       20240101000165100000005000 0000000000000005   
0601BEA0N       20240101000170100000005000 0000000000000026   
0601BEA0N       20240101000175100000005000 0000000000000047   
0601BEA0N       20240101000180100000005000 0000000000000070   
0601BEA0N       20240101000185100000005000 0000000000000088   
0601BEA0N       20240101000190100000005000 0000000000000106   
0601BEA0N       20240101000195100000005000 0000000000000122   
0601BEA0N       20240101000200100000005000 0000000000000147   
0601BEA0N       20240101000205100000005000 0000000000000176   
0601BEA0N       20240101000210100000005000 0000000000000198   
0601BEA0N       20240101000215100000005000 0000000000000219   
0601BEA0N       20240101000220100000005000 0000000000000239   
0601BEA0N       20240101000225100000005000 0000000000000259   
0601BEA0N       20240101000230100000005000 0000000000000288   
0601BEA0N       20240101000235100000005000 0000000000000311   
0601BEA0N       20240101000240100000005000 0000000000000342   
0601BEA0N       20240101000245100000005000 0000000000000365   
0601BEA0N       20240101000250100000005000 0000000000000386   
0601BEA0N       20240101000255100000005000 0000000000000413   
0601BEA0N       20240101000260100000005000 0000000000000432   
0601BEA0N       20240101000265100000005000 0000000000000452   
0601BEA0N       20240101000270100000005000 0000000000000470   
0601BEA0N       20240101000275100000005000 0000000000000488   
0601BEA0N       20240101000280100000005000 0000000000000510   
0601BEA0N       20240101000285100000005000 0000000000000526   
0601BEA0N       20240101000290100000005000 0000000000000542   
0601BEA0N       20240101000295100000005000 0000000000000558   
0601BEA0N       20240101000300100000005000 0000000000000572   
0601BEA0N       20240101000305100000005000 0000000000000591   
0601BEA0N       20240101000310100000005000 0000000000000605   
0601BEA0N       20240101000315100000005000 0000000000000623   
0601BEA0N       20240101000320100000005000 0000000000000643   
0601BEA0N       20240101000325100000005000 0000000000000658   
0601BEA0N       20240101000330100000005000 0000000000000674   
0601BEA0N       20240101000335100000005000 0000000000000698   
0601BEA0N       20240101000340100000005000 0000000000000712   
0601BEA0N       20240101000345100000005000 0000000000000726   
0601BEA0N       20240101000350100000005000 0000000000000739   
