00TI               20231221                                                                                   
0601TIA0N       20240101000000100000025000 0000000000000150   
0601TIA0N       20240101000025100000005000 0000000000000120   
0601TIA0N       20240101000030100000005000 0000000000000100   
0601TIA0N       20240101000035100000005000 0000000000000090   
0601TIA0N       20240101000040100000005000 0000000000000080   
0601TIA0N       20240101000045100000005000 0000000000000070   
0601TIA0N       20240101000050100000005000 0000000000000060   
0601TIA0N       20240101000055100000005000 0000000000000060   
0601TIA0N       20240101000060100000005000 0000000000000050   
0601TIA0N       20240101000065100000005000 0000000000000050   
0601TIA0N       20240101000070100000005000 0000000000000050   
0601TIA0N       20240101000075100000005000 0000000000000040   
0601TIA0N       20240101000080100000005000 0000000000000040   
0601TIA0N       20240101000085100000005000 0000000000000040   
0601TIA0N       20240101000090100000005000 0000000000000040   
0601TIA0N       20240101000095100000005000 0000000000000030   
0601TIA0N       20240101000100100000005000 0000000000000030   
0601TIA0N       20240101000105100000005000 0000000000000030   
0601TIA0N       20240101000110100000005000 0000000000000030   
0601TIA0N       20240101000115100000005000 0000000000000030   
0601TIA0N       20240101000120100000005000 0000000000000030   
0601TIA0N       20240101000125100000005000 0000000000000030   
0601TIA0N       20240101000130100000005000 0000000000000030   
0601TIA0N       20240101000135100000005000 0000000000000020   
0601TIA0N       20240101000140100000005000 0000000000000020   
0601TIA0N       20240101000145100000005000 0000000000000020   
0601TIA0N       20240101000150100000005000 0000000000000020   
0601TIA0N       20240101000155100000005000 0000000000000020   
0601TIA0N       20240101000160100000005000 0000000000000020   
0601TIA0N       20240101000165100000005000 0000000000000060   
0601TIA0N       20240101000170100000005000 0000000000000080   
0601TIA0N       20240101000175100000005000 0000000000000100   
0601TIA0N       20240101000180100000005000 0000000000000120   
0601TIA0N       20240101000185100000005000 0000000000000140   
0601TIA0N       20240101000190100000005000 0000000000000160   
0601TIA0N       20240101000195100000005000 0000000000000180   
0601TIA0N       20240101000200100000005000 0000000000000190   
0601TIA0N       20240101000205100000005000 0000000000000210   
0601TIA0N       20240101000210100000005000 0000000000000220   
0601TIA0N       20240101000215100000005000 0000000000000240   
0601TIA0N       20240101000220100000005000 0000000000000260   
0601TIA0N       20240101000225100000005000 0000000000000270   
0601TIA0N       20240101000230100000005000 0000000000000280   
0601TIA0N       20240101000235100000005000 0000000000000300   
0601TIA0N       20240101000240100000005000 0000000000000320   
0601TIA0N       20240101000245100000005000 0000000000000330   
0601TIA0N       20240101000250100000005000 0000000000000330   
0601TIA0N       20240101000255100000005000 0000000000000340   
0601TIA0N       20240101000260100000005000 0000000000000350   
0601TIA0N       20240101000265100000005000 0000000000000350   
0601TIA0N       20240101000270100000005000 0000000000000360   
0601TIA0N       20240101000275100000005000 0000000000000370   
0601TIA0N       20240101000280100000005000 0000000000000370   
0601TIA0N       20240101000285100000005000 0000000000000380   
0601TIA0N       20240101000290100000005000 0000000000000380   
0601TIA0N       20240101000295100000005000 0000000000000400   
0601TIA0N       20240101000300100000005000 0000000000000410   
0601TIA0N       20240101000305100000005000 0000000000000430   
0601TIA0N       20240101000310100000005000 0000000000000440   
0601TIA0N       20240101000315100000005000 0000000000000450   
0601TIA0N       20240101000320100000005000 0000000000000470   
0601TIA0N       20240101000325100000005000 0000000000000480   
0601TIA0N       20240101000330100000005000 0000000000000490   
0601TIA0N       20240101000335100000005000 0000000000000510   
0601TIA0N       20240101000340100000005000 0000000000000520   
0601TIA0N       20240101000345100000005000 0000000000000540   
0601TIA0N       20240101000350100000005000 0000000000000550   
0601TIA0N       20240101000355100000005000 0000000000000570   
0601TIA0N       20240101000360100000005000 0000000000000580   
0601TIA0N       20240101000365100000005000 0000000000000590   
0601TIA0N       20240101000370100000005000 0000000000000610   
0601TIA0N       20240101000375100000005000 0000000000000620   
0601TIA0N       20240101000380100000005000 0000000000000630   
0601TIA0N       20240101000385100000005000 0000000000000640   
0601TIA0N       20240101000390100000005000 0000000000000650   
0601TIA0N       20240101000395100000005000 0000000000000670   
0601TIA0N       20240101000400100000005000 0000000000000680   
