SSC Tag EN,2024,2025,2026
AccountingPeriod,2024,2025,2026
Company,,,
CompanyName,Muster AG,Muster AG,Muster AG
CompanyStreet,Bahnhofstrasse 1,Bahnhofstrasse 1,Bahnhofstrasse 1
CompanyZIPCode,6003,6003,6003
CompanyCity,Luzern,Luzern,Luzern
CompanyCountry,SWITZERLAND,SWITZERLAND,SWITZERLAND
CompanyUIDBFS,CHE-999.999.996,CHE-999.999.996,CHE-999.999.996
CompanyContactPerson,Hans Muster,Hans Muster,Hans Muster
CompanyEmailAddress,MusterAG@xxxxx.ch,MusterAG@xxxxx.ch,MusterAG@xxxxx.ch
CompanyPhoneNumber,041 218 65 32,041 218 65 32,041 218 65 32
CompanyWorkplaces,,,
CompanyWorkplaceLU,,,
CompanyWorkplaceLUWorkplaceID,#LU,#LU,#LU
CompanyWorkplaceLUBUR-REE-Number,A92978109,A92978109,A92978109
CompanyWorkplaceLUDesignation,Hauptsitz,Hauptsitz,Hauptsitz
CompanyWorkplaceLUStreet,Bahnhofstrasse 1,Bahnhofstrasse 1,Bahnhofstrasse 1
CompanyWorkplaceLUZIPCode,6003,6003,6003
CompanyWorkplaceLUCity,Luzern,Luzern,Luzern
CompanyWorkplaceLUCountry,SWITZERLAND,SWITZERLAND,SWITZERLAND
CompanyWorkplaceLUCanton,LU,LU,LU
CompanyWorkplaceLUMunicipalityID,1061,1061,1061
CompanyWorkplaceLUFAKSolution,Spida,Familienausgleichskassen Kanton Luzern,Familienausgleichskassen Kanton Luzern
CompanyWorkplaceBE,,,
CompanyWorkplaceBEWorkplaceID,#BE,#BE,#BE
CompanyWorkplaceBEBUR-REE-Number,A89058593,A89058593,A89058593
CompanyWorkplaceBEDesignation,Werkhof/Büro,Werkhof/Büro,Werkhof/Büro
CompanyWorkplaceBEStreet,Zeughausgasse 9,Zeughausgasse 9,Zeughausgasse 9
CompanyWorkplaceBEZIPCode,3011,3011,3011
CompanyWorkplaceBECity,Bern,Bern,Bern
CompanyWorkplaceBECountry,SWITZERLAND,SWITZERLAND,SWITZERLAND
CompanyWorkplaceBECanton,BE,BE,BE
CompanyWorkplaceBEMunicipalityID,351,351,351
CompanyWorkplaceBEFAKSolution,Spida,Familienausgleichskasse Kanton Bern,Familienausgleichskasse Kanton Bern
CompanyWorkplaceVD,,,
CompanyWorkplaceVDWorkplaceID,#VD,#VD,#VD
CompanyWorkplaceVDBUR-REE-Number,A89058588,A89058588,A89058588
CompanyWorkplaceVDDesignation,Verkauf,Verkauf,Verkauf
CompanyWorkplaceVDStreet,Rue des Moulins 9,Rue des Moulins 9,Rue des Moulins 9
CompanyWorkplaceVDZIPCode,1800,1800,1800
CompanyWorkplaceVDCity,Vevey,Vevey,Vevey
CompanyWorkplaceVDCountry,SWITZERLAND,SWITZERLAND,SWITZERLAND
CompanyWorkplaceVDCanton,VD,VD,VD
CompanyWorkplaceVDMunicipalityID,5890,5890,5890
CompanyWorkplaceVDFAKSolution,Spida,Caisse cantonale vaudoise de compensation,Caisse cantonale vaudoise de compensation
CompanyWorkplaceTI,,,
CompanyWorkplaceTIWorkplaceID,#TI,#TI,#TI
CompanyWorkplaceTIBUR-REE-Number,A92978114,A92978114,A92978114
CompanyWorkplaceTIDesignation,Beratung,Beratung,Beratung
CompanyWorkplaceTIStreet,Via Canonico Ghiringhelli 19,Via Canonico Ghiringhelli 19,Via Canonico Ghiringhelli 19
CompanyWorkplaceTIZIPCode,6500,6500,6500
CompanyWorkplaceTICity,Bellinzona,Bellinzona,Bellinzona
CompanyWorkplaceTICountry,SWITZERLAND,SWITZERLAND,SWITZERLAND
CompanyWorkplaceTICanton,TI,TI,TI
CompanyWorkplaceTIMunicipalityID,5002,5002,5002
CompanyWorkplaceTIFAKSolution,Spida,Istituto delle assicurazioni sociali,Istituto delle assicurazioni sociali
CompanyWorkplaceAG,,,
CompanyWorkplaceAGWorkplaceID,#AG,#AG,#AG
CompanyWorkplaceAGBUR-REE-Number,A12054926,A12054926,A12054926
CompanyWorkplaceAGDesignation,Beratung,Beratung,Beratung
CompanyWorkplaceAGStreet,Galterstrasse 3,Galterstrasse 3,Galterstrasse 3
CompanyWorkplaceAGZIPCode,5272,5272,5272
CompanyWorkplaceAGCity,Gansingen,Gansingen,Gansingen
CompanyWorkplaceAGCountry,SWITZERLAND,SWITZERLAND,SWITZERLAND
CompanyWorkplaceAGCanton,AG,AG,AG
CompanyWorkplaceAGMunicipalityID,4164,4164,4164
CompanyWorkplaceAGFAKSolution,Spida,Familienausgleichskasse Kanton Aargau,Familienausgleichskasse Kanton Aargau
CompanyWorkplaceZG,,,
