testcaseId,sscTag,label,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,total
TF01,1005,Stundenlohn,,,8000.0,8000.0,8500.0,,,,,,,,,,,,24500.0
TF01,1160,Ferienvergütung Stundenlohn,,,666.4,666.4,708.05,,,,,,,,,,,,2040.85
TF01,1161,Feiertagsentschädigung Stundenlohn,,,320.0,320.0,340.0,,,,,,,,,,,,980.0
TF01,1201,13. Monatslohn Stundenlohn,,,748.55,748.55,795.35,,,,,,,,,,,,2292.45
TF01,1203,Gratifikation,,,,,,,,,,,,20000.0,,,,,20000.0
TF01,1972,Vom AG übern. AN-Anteil BVG,,,682.0,682.0,682.0,,,,,,,,,,,,2046.0
TF01,2000,EO-Taggeld,,,,,1200.0,,1300.0,,,,,,,,,,2500.0
TF01,2005,Militärdienstkasse (MDK),,,,,1000.0,,,,,,,,,,,,1000.0
TF01,2030,Unfall-Taggeld,,,1250.0,1250.0,,,,,,,,,,,,,2500.0
TF01,2035,Kranken-Taggeld,,,250.0,250.0,,,1000.0,,,,,,,,,,1500.0
TF01,5050,BVG-Beitrag,,,53.0,53.0,53.0,,,,,,,,,,,,159.0
TF01,5212,Ausgleich BVG-Beiträge AG,,,682.0,682.0,682.0,,,,,,,,,,,,2046.0
TF02,1005,Stundenlohn,,,4500.0,2100.0,2100.0,4260.0,600.0,3000.0,3600.0,3900.0,4860.0,1500.0,4860.0,4500.0,3600.0,1500.0,44880.0
TF02,1006,Lektionenlohn,,,600.0,,,,600.0,1200.0,600.0,600.0,,600.0,,600.0,600.0,,5400.0
TF02,1070,Schichtzulage,,,90.0,50.0,25.0,35.0,40.0,,35.0,105.0,89.0,81.0,,95.0,,,645.0
TF02,1160,Ferienvergütung Stundenlohn,,,586.8,273.85,273.85,555.5,78.25,391.2,469.45,508.55,633.75,195.6,633.75,586.8,469.45,195.6,5852.40
TF02,1161,Feiertagsentschädigung Stundenlohn,,,180.0,84.0,84.0,170.4,24.0,120.0,144.0,156.0,194.4,60.0,194.4,180.0,144.0,60.0,1795.2
TF02,1162,Ferienvergütung Lektionenlohn,,,78.25,,,,78.25,156.5,78.25,78.25,,78.25,,78.25,78.25,,704.25
TF02,1163,Feiertagsentschädigung Lektionenlohn,,,24.0,,,,24.0,48.0,24.0,24.0,,24.0,,24.0,24.0,,216.0
TF02,1201,13. Monatslohn Stundenlohn,,,438.7,204.75,204.75,415.35,58.5,292.5,351.0,380.25,473.8,146.25,473.8,438.7,351.0,146.25,4375.60
TF02,1202,13. Monatslohn Lektionenlohn,,,58.5,,,,58.5,117.0,58.5,58.5,,58.5,,58.5,58.5,,526.5
TF02,1218,Provision,,,,,,,,,,,,,,2044.0,,,2044.0
TF02,2065,Lohnausfall KA/SW (SL),,,,3000.0,3000.0,,,,,,,,,,,,6000.0
TF02,2070,ALV-Entschädigung,,,,2200.0,2200.0,,,,,,,,,,,,4400.0
TF02,2075,Karenztag KA/SW,,,,200.0,200.0,,,,,,,,,,,,400.0
TF02,3000,Kinderzulage,,,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,3010.0
TF02,5050,BVG-Beitrag,,,408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33,,,,,,3674.97
TF03,1000,Monatslohn,,,5500.0,5500.0,5500.0,5500.0,5500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,38000.0
TF03,1212,Sonderzulage,,,,3200.0,,,,3200.0,,,,,,,,,6400.0
TF03,1230,Dienstaltersgeschenke,,,,34000.0,,,,,,,,,,,,,34000.0
TF03,1410,Kapitalleistung mit Vorsorgecharakter,,,,6000.0,,,,,,,,,,,,,6000.0
TF03,5050,BVG-Beitrag,,,385.0,385.0,385.0,385.0,385.0,,,,,,,,,,1925.0
TF04,1000,Monatslohn,,,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,,360000.0
TF04,1200,13. Monatslohn,,,,,,,,,,,,,,30000.0,,,30000.0
TF04,1205,14. Monatslohn,,,,,,,,,,,,,,30000.0,,,30000.0
TF04,1230,Dienstaltersgeschenke,,,,,,,,,,,,,,,,40000.0,40000.0
TF04,5050,BVG-Beitrag,,,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,,,33600.0
TF05,1000,Monatslohn,,,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,,,16200.0
TF05,1073,Sonntagszulage,,,,,,,,,,,,,,,,6000.0,6000.0
TF05,1200,13. Monatslohn,,,,,,,,,,,,,,1350.0,,,1350.0
TF05,2030,Unfall-Taggeld,,,,,,,,,,,,,,,,10000.0,10000.0
TF05,2050,Korrektur Taggelder,,,,,,,,,,,,,,,,-10000.0,-10000.0
TF05,5050,BVG-Beitrag,,,117.0,117.0,117.0,117.0,,,,,,,,,,,468.0
TF06,1000,Monatslohn,,,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,,,,,135000.0
TF06,2000,EO-Taggeld,,,,,,,,,,,,,,,,4800.0,4800.0
TF06,2030,Unfall-Taggeld,,,,,,,,,,,,,,,,15200.0,15200.0
TF06,2050,Korrektur Taggelder,,,,,,,,,,,,,,,,-20000.0,-20000.0
TF06,5050,BVG-Beitrag,,,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,,,,,10800.0
TF07,1000,Monatslohn,8000.0,8000.0,,,,,,,,,,,,,,,16000.0
TF07,1067,Ueberzeit nach Austritt,,,15000.0,,,,,,,,,,,,,,15000.0
TF07,2030,Unfall-Taggeld,,,,9500.0,,,,,,,,,,,,,9500.0
TF07,2050,Korrektur Taggelder,,,,-9500.0,,,,,,,,,,,,,-9500.0
TF07,5050,BVG-Beitrag,640.0,640.0,,,,,,,,,,,,,,,1280.0
TF08,1005,Stundenlohn,,,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,6800.0,6800.0,6800.0,6800.0,,17500.0,112700.0
TF08,1070,Schichtzulage,,,,,25.0,35.0,40.0,,35.0,105.0,89.0,81.0,44.0,95.0,,44.0,593.0
TF08,1073,Sonntagszulage,,,,,,,,,,,,,,,20000.0,,20000.0
TF08,1160,Ferienvergütung Stundenlohn,,,708.05,708.05,708.05,708.05,708.05,708.05,708.05,708.05,566.45,566.45,566.45,566.45,,1457.75,9387.95
TF08,1161,Feiertagsentschädigung Stundenlohn,,,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,272.0,272.0,272.0,272.0,,700.0,4508.0
TF08,1201,13. Monatslohn Stundenlohn,,,795.35,795.35,795.35,795.35,795.35,795.35,795.35,795.35,636.3,636.3,636.3,636.3,,1637.5,10545.50
TF08,1218,Provision,,,,,,,,,,,,,,4044.0,,,4044.0
TF08,3000,Kinderzulage,,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,,,3000.0
TF08,5050,BVG-Beitrag,,,751.09,751.09,751.09,751.09,751.09,751.09,751.09,751.09,603.79,603.79,603.79,603.79,,,8423.88
TF09,1000,Monatslohn,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0,1000.0,,,21000.0
TF09,1203,Gratifikation,,,,,,,,,,,,,1700.0,200.0,,,1900.0
TF09,1212,Sonderzulage,,,,,35000.0,,,,,,,,,,,,35000.0
TF09,2030,Unfall-Taggeld,,,,,,,,,,,,30000.0,,32000.0,,,62000.0
TF09,2050,Korrektur Taggelder,,,,,,,,,,,,-30000.0,,-32000.0,,,-62000.0
TF10,1000,Monatslohn,,,,6400.0,6400.0,6400.0,6400.0,6400.0,6400.0,6400.0,6400.0,6400.0,,,,,57600.0
TF10,1061,Ueberstunden 125%,,,,,,,,,,,,,,1200.0,,,1200.0
TF10,1212,Sonderzulage,,,,,,,,,,,31000.0,,,7000.0,,,38000.0
TF10,1420,Lohnnachgenuss,,,,,,,,,,,,,6400.0,6400.0,,,12800.0
TF10,2000,EO-Taggeld,,,,1000.0,,,,,,,,,,,,,1000.0
TF10,2005,Militärdienstkasse (MDK),,,,800.0,,,,,,,,,,,,,800.0
TF10,2030,Unfall-Taggeld,,,,,,,,,,,2000.0,,,,,,2000.0
TF10,2035,Kranken-Taggeld,,,,,,,,,,,2500.0,,,,,,2500.0
TF10,2050,Korrektur Taggelder,,,,-1800.0,,,,,,,-4500.0,,,,,,-6300.0
TF10,2060,Lohnabzug KA/SW (ML),,,,,-3000.0,,,,,,,,,,,,-3000.0
TF10,2070,ALV-Entschädigung,,,,,2200.0,,,,,,,,,,,,2200.0
TF10,2075,Karenztag KA/SW,,,,,200.0,,,,,,,,,,,,200.0
TF10,5050,BVG-Beitrag,,,,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,,,,,4032.0
TF11,1000,Monatslohn,,,9600.0,9600.0,9600.0,9600.0,9600.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,318000.0
TF11,1010,Honorare,,,,,,,,,,,,20000.0,15000.0,,,,35000.0
TF11,1033,Ortszulage,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,7000.0
TF11,1200,13. Monatslohn,,,,,,,4000.0,,,,,,,17500.0,,,21500.0
TF11,1203,Gratifikation,,,,,,5000.0,,,,,,,,,,,5000.0
TF11,1212,Sonderzulage,,,,,,3400.0,,,1200.0,,,500.0,,,,,5100.0
TF11,1410,Kapitalleistung mit Vorsorgecharakter,,,,,,,50000.0,,,,,,,,,,50000.0
TF11,1910,Privatanteil Geschäftswagen,,,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,3500.0
TF11,1950,Verbilligung Mietwohnung,,,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,16800.0
TF11,1973,Vom AG übern. AN-Anteil Einkauf BVG,,,,,5000.0,,,,,,,,,,,,5000.0
TF11,3000,Kinderzulage,,,260.0,260.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,215.0,215.0,215.0,215.0,5180.0
TF11,3034,Geburtszulage,,,,,1000.0,,,,,,,,,,,,1000.0
TF11,5050,BVG-Beitrag,,,864.5,864.5,864.5,864.5,864.5,2469.83,2469.83,2469.83,2469.83,2469.83,2469.83,2469.83,2644.83,2644.83,26900.97
TF11,5200,Ausgleich Naturalleistungen,,,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,16800.0
TF11,5210,Ausgleich geldwerte Vorteile,,,250.0,250.0,20250.0,250.0,250.0,-19750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,3500.0
TF11,5214,Ausgleich BVG Einkauf AG,,,,,5000.0,,,,,,,,,,,,5000.0
TF12,1000,Monatslohn,,,,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,,,,,,96000.0
TF12,1001,Lohnkorrektur,,,,-10400.0,,,,,,,,,,,,,-10400.0
TF12,1218,Provision,,,,,,,,,,,,1000.0,10000.0,25000.0,,,36000.0
TF12,1900,Gratisverpflegung,,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,,,,,,1600.0
TF12,1902,Gratiswohnung,,,,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,,,,,,5200.0
TF12,1962,Mitarbeiteroptionen,,,,,,,,,,7000.0,,,,,,,7000.0
TF12,1980,Weiterbildung (Lohnausweis),,,,,2000.0,,,,,,,,,,,,2000.0
TF12,2000,EO-Taggeld,,,,,,,,2000.0,,,,,,,,,2000.0
TF12,2005,Militärdienstkasse (MDK),,,,,,,,1500.0,,,,,,,,,1500.0
TF12,2030,Unfall-Taggeld,,,,,,,,3000.0,,,,,,,,,3000.0
TF12,2050,Korrektur Taggelder,,,,,,,,-6500.0,,,,,,,,,-6500.0
TF12,5050,BVG-Beitrag,,,,899.5,899.5,899.5,899.5,899.5,899.5,899.5,899.5,866.67,866.67,866.67,,,9796.01
TF12,5200,Ausgleich Naturalleistungen,,,,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,,,,,,6800.0
TF12,5210,Ausgleich geldwerte Vorteile,,,,,,,,,,7000.0,,,,,,,7000.0
TF12,6020,Effektive Spesen Expatriates,,,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,8000.0
TF12,6050,Pauschale Autospesen,,,,,,,,,,,,800.0,800.0,800.0,,,2400.0
TF12,6070,Uebrige Pauschalspesen,,,,,,,,,,,,300.0,300.0,300.0,,,900.0
TF13,1000,Monatslohn,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,28000.0
TF13,1033,Ortszulage,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,2800.0
TF13,1065,Ueberzeit,,,,,,180.0,,,300.0,,,,80.0,250.0,,,810.0
TF13,1218,Provision,,,,,,,,,,,,,,1000.0,,,1000.0
TF13,3000,Kinderzulage,,,,,,,,,,,,,,,215.0,215.0,430.0
TF13,5050,BVG-Beitrag,,,,,,,,,,,,,,,154.0,154.0,308.0
