00TI               20241203                                                                                   
0601TIA0N       20250101000000100000025000 0000000000000150   
0601TIA0N       20250101000025100000005000 0000000000000120   
0601TIA0N       20250101000030100000005000 0000000000000100   
0601TIA0N       20250101000035100000005000 0000000000000090   
0601TIA0N       20250101000040100000005000 0000000000000080   
0601TIA0N       20250101000045100000005000 0000000000000070   
0601TIA0N       20250101000050100000005000 0000000000000060   
0601TIA0N       20250101000055100000005000 0000000000000060   
0601TIA0N       20250101000060100000005000 0000000000000050   
0601TIA0N       20250101000065100000005000 0000000000000050   
0601TIA0N       20250101000070100000005000 0000000000000050   
0601TIA0N       20250101000075100000005000 0000000000000040   
0601TIA0N       20250101000080100000005000 0000000000000040   
0601TIA0N       20250101000085100000005000 0000000000000040   
0601TIA0N       20250101000090100000005000 0000000000000040   
0601TIA0N       20250101000095100000005000 0000000000000030   
0601TIA0N       20250101000100100000005000 0000000000000030   
0601TIA0N       20250101000105100000005000 0000000000000030   
0601TIA0N       20250101000110100000005000 0000000000000030   
0601TIA0N       20250101000115100000005000 0000000000000030   
0601TIA0N       20250101000120100000005000 0000000000000030   
0601TIA0N       20250101000125100000005000 0000000000000030   
0601TIA0N       20250101000130100000005000 0000000000000030   
0601TIA0N       20250101000135100000005000 0000000000000020   
0601TIA0N       20250101000140100000005000 0000000000000020   
0601TIA0N       20250101000145100000005000 0000000000000020   
0601TIA0N       20250101000150100000005000 0000000000000020   
0601TIA0N       20250101000155100000005000 0000000000000020   
0601TIA0N       20250101000160100000005000 0000000000000020   
0601TIA0N       20250101000165100000005000 0000000000000050   
0601TIA0N       20250101000170100000005000 0000000000000070   
0601TIA0N       20250101000175100000005000 0000000000000090   
0601TIA0N       20250101000180100000005000 0000000000000110   
0601TIA0N       20250101000185100000005000 0000000000000130   
0601TIA0N       20250101000190100000005000 0000000000000150   
0601TIA0N       20250101000195100000005000 0000000000000170   
0601TIA0N       20250101000200100000005000 0000000000000180   
0601TIA0N       20250101000205100000005000 0000000000000200   
0601TIA0N       20250101000210100000005000 0000000000000210   
0601TIA0N       20250101000215100000005000 0000000000000230   
0601TIA0N       20250101000220100000005000 0000000000000240   
0601TIA0N       20250101000225100000005000 0000000000000260   
0601TIA0N       20250101000230100000005000 0000000000000270   
0601TIA0N       20250101000235100000005000 0000000000000280   
0601TIA0N       20250101000240100000005000 0000000000000300   
0601TIA0N       20250101000245100000005000 0000000000000320   
0601TIA0N       20250101000250100000005000 0000000000000320   
0601TIA0N       20250101000255100000005000 0000000000000330   
0601TIA0N       20250101000260100000005000 0000000000000340   
0601TIA0N       20250101000265100000005000 0000000000000340   
0601TIA0N       20250101000270100000005000 0000000000000350   
0601TIA0N       20250101000275100000005000 0000000000000360   
0601TIA0N       20250101000280100000005000 0000000000000360   
0601TIA0N       20250101000285100000005000 0000000000000370   
0601TIA0N       20250101000290100000005000 0000000000000370   
0601TIA0N       20250101000295100000005000 0000000000000380   
0601TIA0N       20250101000300100000005000 0000000000000400   
0601TIA0N       20250101000305100000005000 0000000000000410   
0601TIA0N       20250101000310100000005000 0000000000000420   
0601TIA0N       20250101000315100000005000 0000000000000430   
0601TIA0N       20250101000320100000005000 0000000000000450   
0601TIA0N       20250101000325100000005000 0000000000000460   
0601TIA0N       20250101000330100000005000 0000000000000470   
0601TIA0N       20250101000335100000005000 0000000000000480   
0601TIA0N       20250101000340100000005000 0000000000000500   
0601TIA0N       20250101000345100000005000 0000000000000520   
0601TIA0N       20250101000350100000005000 0000000000000530   
0601TIA0N       20250101000355100000005000 0000000000000540   
0601TIA0N       20250101000360100000005000 0000000000000560   
0601TIA0N       20250101000365100000005000 0000000000000570   
0601TIA0N       20250101000370100000005000 0000000000000580   
0601TIA0N       20250101000375100000005000 0000000000000600   
0601TIA0N       20250101000380100000005000 0000000000000610   
0601TIA0N       20250101000385100000005000 0000000000000620   
0601TIA0N       20250101000390100000005000 0000000000000630   
