00VD               20250212                                                                                   
0601VDA0N       20250101000000100000245000 0000000000000000   
0601VDA0N       20250101000245100000005000 0000000000000009   
0601VDA0N       20250101000250100000005000 0000000000000010   
0601VDA0N       20250101000255100000005000 0000000000000011   
0601VDA0N       20250101000260100000005000 0000000000000012   
0601VDA0N       20250101000265100000005000 0000000000000013   
0601VDA0N       20250101000270100000005000 0000000000000014   
0601VDA0N       20250101000275100000005000 0000000000000023   
0601VDA0N       20250101000280100000005000 0000000000000032   
0601VDA0N       20250101000285100000005000 0000000000000041   
0601VDA0N       20250101000290100000005000 0000000000000053   
0601VDA0N       20250101000295100000005000 0000000000000070   
0601VDA0N       20250101000300100000005000 0000000000000082   
0601VDA0N       20250101000305100000005000 0000000000000101   
0601VDA0N       20250101000310100000005000 0000000000000117   
0601VDA0N       20250101000315100000005000 0000000000000134   
0601VDA0N       20250101000320100000005000 0000000000000154   
0601VDA0N       20250101000325100000005000 0000000000000172   
0601VDA0N       20250101000330100000005000 0000000000000192   
0601VDA0N       20250101000335100000005000 0000000000000210   
0601VDA0N       20250101000340100000005000 0000000000000230   
0601VDA0N       20250101000345100000005000 0000000000000252   
0601VDA0N       20250101000350100000005000 0000000000000272   
0601VDA0N       20250101000355100000005000 0000000000000293   
0601VDA0N       20250101000360100000005000 0000000000000312   
0601VDA0N       20250101000365100000005000 0000000000000332   
0601VDA0N       20250101000370100000005000 0000000000000360   
0601VDA0N       20250101000375100000005000 0000000000000380   
0601VDA0N       20250101000380100000005000 0000000000000403   
0601VDA0N       20250101000385100000005000 0000000000000422   
0601VDA0N       20250101000390100000005000 0000000000000444   
0601VDA0N       20250101000395100000005000 0000000000000468   
0601VDA0N       20250101000400100000005000 0000000000000486   
0601VDA0N       20250101000405100000005000 0000000000000506   
0601VDA0N       20250101000410100000005000 0000000000000523   
0601VDA0N       20250101000415100000005000 0000000000000541   
0601VDA0N       20250101000420100000005000 0000000000000565   
0601VDA0N       20250101000425100000005000 0000000000000583   
0601VDA0N       20250101000430100000005000 0000000000000605   
0601VDA0N       20250101000435100000005000 0000000000000622   
0601VDA0N       20250101000440100000005000 0000000000000643   
0601VDA0N       20250101000445100000005000 0000000000000666   
0601VDA0N       20250101000450100000005000 0000000000000682   
0601VDA0N       20250101000455100000005000 0000000000000701   
0601VDA0N       20250101000460100000005000 0000000000000716   
0601VDA0N       20250101000465100000005000 0000000000000735   
0601VDA0N       20250101000470100000005000 0000000000000756   
0601VDA0N       20250101000475100000005000 0000000000000771   
0601VDA0N       20250101000480100000005000 0000000000000788   
0601VDA0N       20250101000485100000005000 0000000000000801   
0601VDA0N       20250101000490100000005000 0000000000000818   
0601VDA0N       20250101000495100000005000 0000000000000838   
0601VDA0N       20250101000500100000005000 0000000000000853   
0601VDA0N       20250101000505100000005000 0000000000000870   
0601VDA0N       20250101000510100000005000 0000000000000883   
0601VDA0N       20250101000515100000005000 0000000000000900   
0601VDA0N       20250101000520100000005000 0000000000000913   
0601VDA0N       20250101000525100000005000 0000000000000932   
0601VDA0N       20250101000530100000005000 0000000000000949   
0601VDA0N       20250101000535100000005000 0000000000000964   
0601VDA0N       20250101000540100000005000 0000000000000982   
0601VDA0N       20250101000545100000005000 0000000000000996   
0601VDA0N       20250101000550100000005000 0000000000001016   
0601VDA0N       20250101000555100000005000 0000000000001032   
0601VDA0N       20250101000560100000005000 0000000000001046   
0601VDA0N       20250101000565100000005000 0000000000001062   
0601VDA0N       20250101000570100000005000 0000000000001075   
0601VDA0N       20250101000575100000005000 0000000000001091   
0601VDA0N       20250101000580100000005000 0000000000001103   
0601VDA0N       20250101000585100000005000 0000000000001119   
0601VDA0N       20250101000590100000005000 0000000000001130   
0601VDA0N       20250101000595100000005000 0000000000001145   
0601VDA0N       20250101000600100000005000 0000000000001150   
0601VDA0N       20250101000605100000005000 0000000000001157   
0601VDA0N       20250101000610100000005000 0000000000001163   
0601VDA0N       20250101000615100000005000 0000000000001168   
0601VDA0N       20250101000620100000005000 0000000000001174   
0601VDA0N       20250101000625100000005000 0000000000001179   
0601VDA0N       20250101000630100000005000 0000000000001185   
0601VDA0N       20250101000635100000005000 0000000000001190   
0601VDA0N       20250101000640100000005000 0000000000001196   
0601VDA0N       20250101000645100000005000 0000000000001201   
0601VDA0N       20250101000650100000005000 0000000000001207   
0601VDA0N       20250101000655100000005000 0000000000001213   
0601VDA0N       20250101000660100000005000 0000000000001218   
0601VDA0N       20250101000665100000005000 0000000000001225   
0601VDA0N       20250101000670100000005000 0000000000001231   
0601VDA0N       20250101000675100000005000 0000000000001237   
0601VDA0N       20250101000680100000005000 0000000000001244   
0601VDA0N       20250101000685100000005000 0000000000001250   
0601VDA0N       20250101000690100000005000 0000000000001256   
0601VDA0N       20250101000695100000005000 0000000000001262   
0601VDA0N       20250101000700100000005000 0000000000001268   
0601VDA0N       20250101000705100000005000 0000000000001273   
0601VDA0N       20250101000710100000005000 0000000000001279   
0601VDA0N       20250101000715100000005000 0000000000001285   
0601VDA0N       20250101000720100000005000 0000000000001290   
0601VDA0N       20250101000725100000005000 0000000000001296   
0601VDA0N       20250101000730100000005000 0000000000001301   
0601VDA0N       20250101000735100000005000 0000000000001306   
0601VDA0N       20250101000740100000005000 0000000000001312   
0601VDA0N       20250101000745100000005000 0000000000001317   
0601VDA0N       20250101000750100000005000 0000000000001322   
0601VDA0N       20250101000755100000005000 0000000000001327   
0601VDA0N       20250101000760100000005000 0000000000001332   
0601VDA0N       20250101000765100000005000 0000000000001337   
0601VDA0N       20250101000770100000005000 0000000000001342   
0601VDA0N       20250101000775100000005000 0000000000001347   
0601VDA0N       20250101000780100000005000 0000000000001354   
0601VDA0N       20250101000785100000005000 0000000000001359   
0601VDA0N       20250101000790100000005000 0000000000001363   
0601VDA0N       20250101000795100000005000 0000000000001368   
0601VDA0N       20250101000800100000005000 0000000000001372   
0601VDA0N       20250101000805100000005000 0000000000001377   
0601VDA0N       20250101000810100000005000 0000000000001381   
0601VDA0N       20250101000815100000005000 0000000000001386   
0601VDA0N       20250101000820100000005000 0000000000001391   
0601VDA0N       20250101000825100000005000 0000000000001397   
0601VDA0N       20250101000830100000005000 0000000000001404   
0601VDA0N       20250101000835100000005000 0000000000001410   
0601VDA0N       20250101000840100000005000 0000000000001416   
0601VDA0N       20250101000845100000005000 0000000000001423   
0601VDA0N       20250101000850100000005000 0000000000001429   
0601VDA0N       20250101000855100000005000 0000000000001435   
0601VDA0N       20250101000860100000005000 0000000000001443   
0601VDA0N       20250101000865100000005000 0000000000001449   
0601VDA0N       20250101000870100000005000 0000000000001455   
0601VDA0N       20250101000875100000005000 0000000000001461   
0601VDA0N       20250101000880100000005000 0000000000001467   
0601VDA0N       20250101000885100000005000 0000000000001473   
0601VDA0N       20250101000890100000005000 0000000000001480   
0601VDA0N       20250101000895100000005000 0000000000001486   
0601VDA0N       20250101000900100000005000 0000000000001491   
0601VDA0N       20250101000905100000005000 0000000000001497   
0601VDA0N       20250101000910100000005000 0000000000001503   
0601VDA0N       20250101000915100000005000 0000000000001509   
0601VDA0N       20250101000920100000005000 0000000000001515   
0601VDA0N       20250101000925100000005000 0000000000001521   
0601VDA0N       20250101000930100000005000 0000000000001527   
0601VDA0N       20250101000935100000005000 0000000000001532   
0601VDA0N       20250101000940100000005000 0000000000001538   
0601VDA0N       20250101000945100000005000 0000000000001543   
0601VDA0N       20250101000950100000005000 0000000000001549   
0601VDA0N       20250101000955100000005000 0000000000001554   
0601VDA0N       20250101000960100000005000 0000000000001559   
0601VDA0N       20250101000965100000005000 0000000000001565   
0601VDA0N       20250101000970100000005000 0000000000001570   
0601VDA0N       20250101000975100000005000 0000000000001574   
0601VDA0N       20250101000980100000005000 0000000000001579   
0601VDA0N       20250101000985100000005000 0000000000001585   
0601VDA0N       20250101000990100000005000 0000000000001590   
0601VDA0N       20250101000995100000005000 0000000000001595   
0601VDA0N       20250101001000100000005000 0000000000001601   
0601VDA0N       20250101001005100000005000 0000000000001606   
0601VDA0N       20250101001010100000005000 0000000000001612   
0601VDA0N       20250101001015100000005000 0000000000001618   
0601VDA0N       20250101001020100000005000 0000000000001622   
0601VDA0N       20250101001025100000005000 0000000000001628   
0601VDA0N       20250101001030100000005000 0000000000001634   
0601VDA0N       20250101001035100000005000 0000000000001640   
0601VDA0N       20250101001040100000005000 0000000000001645   
0601VDA0N       20250101001045100000005000 0000000000001650   
0601VDA0N       20250101001050100000005000 0000000000001655   
0601VDA0N       20250101001055100000005000 0000000000001660   
0601VDA0N       20250101001060100000005000 0000000000001666   
0601VDA0N       20250101001065100000005000 0000000000001671   
0601VDA0N       20250101001070100000005000 0000000000001676   
0601VDA0N       20250101001075100000005000 0000000000001681   
0601VDA0N       20250101001080100000005000 0000000000001686   
0601VDA0N       20250101001085100000005000 0000000000001690   
0601VDA0N       20250101001090100000005000 0000000000001696   
0601VDA0N       20250101001095100000005000 0000000000001703   
0601VDA0N       20250101001100100000005000 0000000000001708   
0601VDA0N       20250101001105100000005000 0000000000001713   
0601VDA0N       20250101001110100000005000 0000000000001717   
0601VDA0N       20250101001115100000005000 0000000000001722   
0601VDA0N       20250101001120100000005000 0000000000001726   
0601VDA0N       20250101001125100000005000 0000000000001731   
0601VDA0N       20250101001130100000005000 0000000000001736   
0601VDA0N       20250101001135100000005000 0000000000001743   
0601VDA0N       20250101001140100000005000 0000000000001747   
0601VDA0N       20250101001145100000005000 0000000000001752   
0601VDA0N       20250101001150100000005000 0000000000001758   
0601VDA0N       20250101001155100000005000 0000000000001763   
0601VDA0N       20250101001160100000005000 0000000000001770   
0601VDA0N       20250101001165100000005000 0000000000001775   
0601VDA0N       20250101001170100000005000 0000000000001780   
0601VDA0N       20250101001175100000005000 0000000000001787   
0601VDA0N       20250101001180100000005000 0000000000001792   
0601VDA0N       20250101001185100000005000 0000000000001799   
0601VDA0N       20250101001190100000005000 0000000000001804   
0601VDA0N       20250101001195100000005000 0000000000001809   
0601VDA0N       20250101001200100000005000 0000000000001815   
0601VDA0N       20250101001205100000005000 0000000000001820   
0601VDA0N       20250101001210100000005000 0000000000001827   
0601VDA0N       20250101001215100000005000 0000000000001832   
0601VDA0N       20250101001220100000005000 0000000000001837   
0601VDA0N       20250101001225100000005000 0000000000001842   
0601VDA0N       20250101001230100000005000 0000000000001847   
0601VDA0N       20250101001235100000005000 0000000000001853   
0601VDA0N       20250101001240100000005000 0000000000001858   
0601VDA0N       20250101001245100000005000 0000000000001863   
0601VDA0N       20250101001250100000005000 0000000000001870   
0601VDA0N       20250101001255100000005000 0000000000001875   
0601VDA0N       20250101001260100000005000 0000000000001880   
0601VDA0N       20250101001265100000005000 0000000000001886   
0601VDA0N       20250101001270100000005000 0000000000001891   
0601VDA0N       20250101001275100000005000 0000000000001896   
0601VDA0N       20250101001280100000005000 0000000000001900   
0601VDA0N       20250101001285100000005000 0000000000001907   
0601VDA0N       20250101001290100000005000 0000000000001912   
0601VDA0N       20250101001295100000005000 0000000000001915   
0601VDA0N       20250101001300100000005000 0000000000001922   
0601VDA0N       20250101001305100000005000 0000000000001926   
0601VDA0N       20250101001310100000005000 0000000000001931   
0601VDA0N       20250101001315100000005000 0000000000001937   
0601VDA0N       20250101001320100000005000 0000000000001941   
0601VDA0N       20250101001325100000005000 0000000000001945   
0601VDA0N       20250101001330100000005000 0000000000001952   
0601VDA0N       20250101001335100000005000 0000000000001956   
0601VDA0N       20250101001340100000005000 0000000000001959   
0601VDA0N       20250101001345100000005000 0000000000001966   
0601VDA0N       20250101001350100000005000 0000000000001970   
0601VDA0N       20250101001355100000005000 0000000000001973   
0601VDA0N       20250101001360100000005000 0000000000001980   
0601VDA0N       20250101001365100000005000 0000000000001984   
0601VDA0N       20250101001370100000005000 0000000000001987   
0601VDA0N       20250101001375100000005000 0000000000001993   
0601VDA0N       20250101001380100000005000 0000000000001998   
0601VDA0N       20250101001385100000005000 0000000000002001   
0601VDA0N       20250101001390100000005000 0000000000002007   
0601VDA0N       20250101001395100000005000 0000000000002011   
0601VDA0N       20250101001400100000005000 0000000000002014   
0601VDA0N       20250101001405100000005000 0000000000002020   
0601VDA0N       20250101001410100000005000 0000000000002023   
0601VDA0N       20250101001415100000005000 0000000000002027   
0601VDA0N       20250101001420100000005000 0000000000002031   
0601VDA0N       20250101001425100000005000 0000000000002037   
0601VDA0N       20250101001430100000005000 0000000000002040   
0601VDA0N       20250101001435100000005000 0000000000002045   
0601VDA0N       20250101001440100000005000 0000000000002051   
0601VDA0N       20250101001445100000005000 0000000000002054   
0601VDA0N       20250101001450100000005000 0000000000002058   
0601VDA0N       20250101001455100000005000 0000000000002065   
0601VDA0N       20250101001460100000005000 0000000000002069   
0601VDA0N       20250101001465100000005000 0000000000002073   
0601VDA0N       20250101001470100000005000 0000000000002079   
0601VDA0N       20250101001475100000005000 0000000000002084   
0601VDA0N       20250101001480100000005000 0000000000002088   
0601VDA0N       20250101001485100000005000 0000000000002094   
0601VDA0N       20250101001490100000005000 0000000000002098   
0601VDA0N       20250101001495100000005000 0000000000002102   
0601VDA0N       20250101001500100000005000 0000000000002108   
0601VDA0N       20250101001505100000005000 0000000000002112   
0601VDA0N       20250101001510100000005000 0000000000002116   
0601VDA0N       20250101001515100000005000 0000000000002122   
0601VDA0N       20250101001520100000005000 0000000000002126   
0601VDA0N       20250101001525100000005000 0000000000002130   
0601VDA0N       20250101001530100000005000 0000000000002136   
0601VDA0N       20250101001535100000005000 0000000000002140   
0601VDA0N       20250101001540100000005000 0000000000002144   
0601VDA0N       20250101001545100000005000 0000000000002150   
0601VDA0N       20250101001550100000005000 0000000000002154   
0601VDA0N       20250101001555100000005000 0000000000002158   
0601VDA0N       20250101001560100000005000 0000000000002163   
0601VDA0N       20250101001565100000005000 0000000000002166   
0601VDA0N       20250101001570100000005000 0000000000002170   
0601VDA0N       20250101001575100000005000 0000000000002174   
0601VDA0N       20250101001580100000005000 0000000000002180   
0601VDA0N       20250101001585100000005000 0000000000002184   
0601VDA0N       20250101001590100000005000 0000000000002187   
0601VDA0N       20250101001595100000005000 0000000000002192   
0601VDA0N       20250101001600100000005000 0000000000002196   
0601VDA0N       20250101001605100000005000 0000000000002200   
0601VDA0N       20250101001610100000005000 0000000000002204   
0601VDA0N       20250101001615100000005000 0000000000002208   
0601VDA0N       20250101001620100000005000 0000000000002212   
0601VDA0N       20250101001625100000005000 0000000000002217   
0601VDA0N       20250101001630100000005000 0000000000002220   
0601VDA0N       20250101001635100000005000 0000000000002224   
0601VDA0N       20250101001640100000005000 0000000000002229   
0601VDA0N       20250101001645100000005000 0000000000002232   
0601VDA0N       20250101001650100000005000 0000000000002236   
0601VDA0N       20250101001655100000005000 0000000000002241   
0601VDA0N       20250101001660100000005000 0000000000002244   
0601VDA0N       20250101001665100000005000 0000000000002247   
0601VDA0N       20250101001670100000005000 0000000000002253   
0601VDA0N       20250101001675100000005000 0000000000002255   
0601VDA0N       20250101001680100000005000 0000000000002259   
0601VDA0N       20250101001685100000005000 0000000000002264   
0601VDA0N       20250101001690100000005000 0000000000002268   
0601VDA0N       20250101001695100000005000 0000000000002271   
0601VDA0N       20250101001700100000005000 0000000000002276   
0601VDA0N       20250101001705100000005000 0000000000002280   
0601VDA0N       20250101001710100000005000 0000000000002283   
0601VDA0N       20250101001715100000005000 0000000000002287   
0601VDA0N       20250101001720100000005000 0000000000002291   
0601VDA0N       20250101001725100000005000 0000000000002295   
0601VDA0N       20250101001730100000005000 0000000000002298   
0601VDA0N       20250101001735100000005000 0000000000002303   
0601VDA0N       20250101001740100000005000 0000000000002306   
0601VDA0N       20250101001745100000005000 0000000000002310   
0601VDA0N       20250101001750100000005000 0000000000002314   
0601VDA0N       20250101001755100000005000 0000000000002318   
0601VDA0N       20250101001760100000005000 0000000000002321   
0601VDA0N       20250101001765100000005000 0000000000002326   
0601VDA0N       20250101001770100000005000 0000000000002329   
0601VDA0N       20250101001775100000005000 0000000000002331   
